 INFO [main] 2017-02-08 16:18:53,350 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'groupRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:18:53,364 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'userRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 WARN [main] 2017-02-08 16:18:53,751 org.springframework.ldap.odm.core.impl.ObjectMetaData (line 118) The Entry class User should be declared final
 INFO [main] 2017-02-08 16:21:17,713 org.springframework.context.support.FileSystemXmlApplicationContext (line 510) Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@7a1b16bd: startup date [Wed Feb 08 16:21:17 CST 2017]; root of context hierarchy
 INFO [main] 2017-02-08 16:21:17,766 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\ldap\ldap-config.xml]
 INFO [main] 2017-02-08 16:21:18,095 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\spring\applicationContext.xml]
 INFO [main] 2017-02-08 16:21:18,160 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from class path resource [ldap/ldap-config.xml]
 INFO [main] 2017-02-08 16:21:18,207 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'contextSource': replacing [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:21:18,208 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'ldapTemplate': replacing [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:21:18,231 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'userRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:21:18,271 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'groupRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 WARN [main] 2017-02-08 16:21:18,611 org.springframework.ldap.odm.core.impl.ObjectMetaData (line 118) The Entry class User should be declared final
 INFO [main] 2017-02-08 16:22:15,805 org.springframework.context.support.FileSystemXmlApplicationContext (line 510) Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@3acfdf8f: startup date [Wed Feb 08 16:22:15 CST 2017]; root of context hierarchy
 INFO [main] 2017-02-08 16:22:15,872 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\ldap\ldap-config.xml]
 INFO [main] 2017-02-08 16:22:16,230 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\spring\applicationContext.xml]
 INFO [main] 2017-02-08 16:22:16,300 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from class path resource [ldap/ldap-config.xml]
 INFO [main] 2017-02-08 16:22:16,372 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'contextSource': replacing [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:22:16,373 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'ldapTemplate': replacing [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:22:16,427 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'groupRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:22:16,440 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'userRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 WARN [main] 2017-02-08 16:33:08,966 org.springframework.ldap.odm.core.impl.ObjectMetaData (line 118) The Entry class User should be declared final
 INFO [main] 2017-02-08 16:34:29,703 org.springframework.context.support.FileSystemXmlApplicationContext (line 510) Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@62b9a65b: startup date [Wed Feb 08 16:34:29 CST 2017]; root of context hierarchy
 INFO [main] 2017-02-08 16:34:29,776 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\ldap\ldap-config.xml]
 INFO [main] 2017-02-08 16:34:30,134 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\spring\applicationContext.xml]
 INFO [main] 2017-02-08 16:34:30,205 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from class path resource [ldap/ldap-config.xml]
